time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.30881651824e-08,-9.67715394389e-08,10.0045366211,6.2829433876,6.28292513909,0.0,1.53468886345e-05,-1.47810732313e-05,0.151211945668,-0.0136488956067,-0.0148454573649,0.0,454.01669373294806,452.82433572069647,452.8426486725044,451.7436666875303
0.12000000000000001,9.68166731101e-06,-8.69062831083e-06,10.0161430094,6.28236452546,6.28186820729,0.0,0.000400694068976,-0.000340356247498,0.235653275818,-0.00265290486228,-0.0238275864593,0.0,432.57119465025477,431.8143324991939,431.2817370248774,432.2094259329929
0.18,6.35945104468e-05,-4.5144073356e-05,10.0314562608,6.28217516628,6.28019416286,0.0,0.00153922364894,-0.000890938571986,0.274779197769,-0.0041816866065,-0.037634003241,0.0,417.83837969439736,416.6329193623628,417.2449730978176,417.1115691302943
0.23999999999999996,0.000232965667403,-0.000122375901033,10.052846362,6.2819921617,6.27772569788,0.0,0.00436831731508,-0.00170747030263,0.438174067913,-0.000877679567062,-0.0492841470405,0.0,457.2459632593766,456.31617848451197,456.4376618454085,456.7012843704769
0.3,0.000640208277221,-0.00025383930931,10.0856286618,6.28197608096,6.27445002989,0.0,0.00957384339155,-0.00267858764863,0.654467708307,0.000924372418792,-0.0681880581969,0.0,473.5277364869427,472.06959983649995,472.32806922105755,472.46701063832165
0.36000000000000004,0.00142264050888,-0.000439302619209,10.1291457386,6.28299587116,6.27030698472,0.0,0.0169516187672,-0.0034330157053,0.7960086905,0.0378051962907,-0.0708335421942,0.0,450.800359636381,450.58302696652726,448.5349473115783,451.51977230983204
0.4200000000000001,0.00273694980784,-0.000640318325252,10.1810519508,0.00199039765047,6.26662109316,0.0,0.0272793943105,-0.00302794653643,0.934089084778,0.0332057030254,-0.0472641569034,0.0,448.3011838925738,450.2091212411747,449.94141185944443,449.5695174119743
0.48000000000000015,0.00480976949768,-0.000761569822876,10.2449698989,0.00351524044264,6.26329594399,0.0,0.0421863636478,-0.000782132913443,1.19626477567,0.00140615063967,-0.081469529283,0.0,487.7973332396141,485.2344456202595,487.8174172932943,485.4374046128299
0.5400000000000001,0.00787550480854,-0.000717852396751,10.3247914391,0.00342096921304,6.25839998257,0.0,0.0606189427903,0.00223863805186,1.46413557732,-0.00831367271431,-0.0818601211847,0.0,488.7853115522389,488.75147444841855,489.0511225038202,488.32672342076916
0.6000000000000002,0.0120336078968,-0.000515338689098,10.4152503486,0.00350304757944,6.25320514723,0.0,0.0784848284263,0.00449540946355,1.551033241,0.0158617316564,-0.0982535454393,0.0,435.98120852669797,434.6029534061581,433.5608723531374,435.58712279671977
0.6600000000000003,0.0174440902648,-0.000162506057885,10.5132293783,0.00450995542987,6.24751840444,0.0,0.102501548333,0.00737391470126,1.7146810008,0.0185611086895,-0.088609890784,0.0,458.8705517157517,459.6280342849618,458.85014299668893,459.06427745387975
0.7200000000000003,0.0242901367548,0.000369424234532,10.6174321669,0.00559806956084,6.24191846479,0.0,0.126206640463,0.0104598505029,1.75865716093,0.0172696528021,-0.10501050277,0.0,422.5457424687326,421.12154456406637,421.9202116119102,421.8086618982977
0.7800000000000004,0.0328276326612,0.00112853669387,10.7280246401,0.00635392792001,6.23533297119,0.0,0.159084856088,0.0149451000955,1.92745460812,0.00106564555135,-0.121513431182,0.0,461.5876424735348,460.273184086809,462.51329599977504,461.23531548698935
0.8400000000000004,0.0433458748961,0.00215104333786,10.8457849105,0.00632179138272,6.22827895589,0.0,0.192215711106,0.0191391926157,1.99772846241,-0.00394785202645,-0.110662113812,0.0,431.1674057991605,432.0702170381374,431.2323791200298,430.8087103050658
0.9000000000000005,0.0561620931116,0.00344287280455,10.9708432357,0.00609683909537,6.22211037217,0.0,0.235691302464,0.0238934942759,2.17052404003,-0.00335481654908,-0.0905027908245,0.0,462.35668052575215,463.9331713463943,464.03469868593277,464.0813198067655
0.9600000000000005,0.0716658222014,0.00500921398389,11.1053375887,0.005664472862,6.21645745258,0.0,0.281679012726,0.0282831663059,2.3123006353,-0.0163068620504,-0.102918846316,0.0,456.23400223844226,455.2342583859947,454.65142599882984,453.6126680721915
1.0200000000000005,0.0898601219289,0.00681074159745,11.2454634305,0.00423306605499,6.20974366817,0.0,0.325382232137,0.0316608512214,2.35841841044,-0.0466019419639,-0.143653044767,0.0,426.81124576907587,423.3075248728759,426.8356805417559,424.24218902309633
1.0800000000000005,0.111183264279,0.00880017597099,11.3932691714,0.00197352267295,6.20076927971,0.0,0.386388046132,0.034357864095,2.5679016288,-0.0240247917467,-0.165300376146,0.0,476.4255106167767,474.74770593490473,476.0544311654733,477.778118093175
1.1400000000000006,0.136159611629,0.0108977914007,11.5509348808,0.000361032391329,6.19036968634,0.0,0.447186108652,0.0354026309297,2.68724222927,-0.0332892703222,-0.198569991238,0.0,451.49342665536983,448.77150266830444,450.61687192175594,449.8671752420236
1.2000000000000006,0.16462296994,0.0130221538918,11.7116543235,6.28196761549,6.17852306471,0.0,0.502598310046,0.0352603841831,2.66999751285,-0.0151127613091,-0.195284709593,0.0,406.3242718285823,406.5765821256821,405.56713768612195,407.1961519524339
1.2600000000000007,0.197448357707,0.0151048287837,11.879124681,6.28199172844,6.16620452574,0.0,0.592952634016,0.034122021555,2.91157622644,0.0207276947765,-0.255288482401,0.0,489.98122476957775,485.45822377301147,486.4473552394371,489.12380637550933
